treatment,replication_mean,replication_sd,plant_height_cm_mean,plant_height_cm_sd,shoot_dry_weight_g_mean,shoot_dry_weight_g_sd,shoot_fresh_weight_g_mean,shoot_fresh_weight_g_sd,root_fresh_weight_g_mean,root_fresh_weight_g_sd,root_dry_weight_g_mean,root_dry_weight_g_sd,pod_fresh_weight_g_mean,pod_fresh_weight_g_sd,pod_dry_weight_g_mean,pod_dry_weight_g_sd,pods_per_plant_mean,pods_per_plant_sd,grains_per_pod_mean,grains_per_pod_sd,pod_length_cm_mean,pod_length_cm_sd,grain_k_pct_mean,grain_k_pct_sd,plant_k_pct_mean,plant_k_pct_sd,plant_n_pct_mean,plant_n_pct_sd,grain_n_pct_mean,grain_n_pct_sd,plant_p_pct_mean,plant_p_pct_sd,grain_p_pct_mean,grain_p_pct_sd
T0,2,1,12.333333333333334,0.5773502691896257,3.1533333333333333,3.642146802825682,28,4,2.6966666666666668,0.5960145412096365,0.7866666666666667,0.10503967504392485,14.9,0.7810249675906658,10.533333333333333,0.6429100507328634,1.3333333333333333,0.5773502691896257,36.333333333333336,2.0816659994661326,9.666666666666666,0.28867513459481287,0.43433333333333335,0.03370954365359062,0.2806666666666667,0.04085747585611882,0.74,0.07,0.842,0.07542545989253231,0.095,0.005291502622129186,0.015,0.005
T1,2,1,14.333333333333334,0.5773502691896257,3.49,2.686186888509435,24.666666666666668,2.309401076758503,3.283333333333333,0.31754264805429405,1.0733333333333333,0.15534906930308057,23.866666666666667,1.474222959166399,12.233333333333334,0.8621678104251705,2,1,50,1,11.933333333333334,1.2897028081435402,0.254,0.03915354390090378,0.5913333333333333,0.01850225211517057,1.2475666666666667,0.07836646816932183,1.113,0.053028294334251456,0.131,0.0020000000000000018,0.03866666666666667,0.0061101009266077855
T2,2,1,14.666666666666666,0.5773502691896257,2.6,1.2500799974401637,20.333333333333332,2.0816659994661326,3.7,0.264575131106459,1.2,0.1562049935181331,24.766666666666666,0.8621678104251703,11.866666666666667,1.1718930554164626,1.6666666666666667,1.1547005383792515,44.333333333333336,4.163331998932265,10.666666666666666,0.7637626158259734,0.45799999999999996,0.04161730409336963,0.5023333333333333,0.011590225767142484,1.0533000000000001,0.06304736314866789,0.965,0.14930170796075973,0.11566666666666667,0.0075718777944003635,0.14233333333333334,0.00776745346515402
T3,2,1,12,1,3.4000000000000004,2.0454583838347826,17.333333333333332,6.110100926607787,3.56,0.5047771785649584,1.5733333333333333,0.31005375877955965,22.7,1.1532562594670792,12.266666666666667,1.6165807537309518,2,1,48.333333333333336,1.5275252316519468,10.9,0.556776436283002,0.363,0.03551056180912941,0.5073333333333333,0.016563010998406475,1.2407000000000001,0.0251334438547526,1.133,0.058923679450624995,0.13066666666666665,0.020550750189064465,0.11833333333333333,0.007637626158259732
T4,2,1,13.666666666666666,0.5773502691896257,1.0699999999999998,1.1170049238924598,18,8.888194417315589,3.6666666666666665,0.6658328118479392,1.7,0.2645751311064591,28.7,1.212435565298215,14.2,1.1532562594670792,3.3333333333333335,0.5773502691896257,77.33333333333333,1.5275252316519468,12.356666666666666,0.5810622456616278,0.6073333333333333,0.023007245235649884,0.9033333333333333,0.03511884584284244,1.3037666666666665,0.011547438388375734,1.12,0.024248711305964205,0.16033333333333333,0.02722743714221618,0.19033333333333333,0.007234178138070241
