treatment,replication,plant_height_cm,shoot_dry_weight_g,shoot_fresh_weight_g,root_fresh_weight_g,root_dry_weight_g,pod_fresh_weight_g,pod_dry_weight_g,pods_per_plant,grains_per_pod,pod_length_cm,grain_k_pct,plant_k_pct,plant_n_pct,grain_n_pct,plant_p_pct,grain_p_pct,total_dry_biomass_g,N_uptake_mg,P_uptake_mg,K_uptake_mg
T0,1,12,0.25,28,2.01,0.68,14,9.8,1,37,9.5,0.43,0.234,0.81,0.882,0.097,0.015,0.93,7.533000000000001,0.9021000000000001,2.1762000000000006
T0,2,12,1.97,24,3,0.89,15.4,10.8,2,34,10,0.403,0.31,0.67,0.889,0.099,0.01,2.86,19.162000000000003,2.8314,8.866
T0,3,13,7.24,32,3.08,0.79,15.3,11,1,38,9.5,0.47,0.298,0.74,0.755,0.089,0.02,8.030000000000001,59.422000000000004,7.1467,23.9294
T1,1,14,5.13,22,3.1,1.2,24.4,11.3,3,51,12.3,0.217,0.57,1.2982,1.171,0.131,0.032,6.33,82.17606,8.292300000000001,36.080999999999996
T1,2,14,0.39,26,3.1,0.9,25,13,2,50,10.5,0.25,0.603,1.2872,1.067,0.133,0.04,1.29,16.60488,1.7157,7.7787
T1,3,15,4.95,26,3.65,1.12,22.2,12.4,1,49,13,0.295,0.601,1.1573,1.101,0.129,0.044,6.07,70.24811000000001,7.8303,36.4807
T2,1,15,2.73,21,3.6,1.3,25.7,13.2,3,43,10.5,0.41,0.49,1.0166,1.02,0.121,0.14,4.03,40.96898,4.8763000000000005,19.747
T2,2,15,3.78,22,3.5,1.02,24.6,11.4,1,49,11.5,0.484,0.504,1.1261,1.079,0.119,0.151,4.8,54.052800000000005,5.712,24.192
T2,3,14,1.29,18,4,1.28,24,11,1,41,10,0.48,0.513,1.0172,0.796,0.107,0.136,2.5700000000000003,26.142040000000005,2.7499000000000002,13.1841
T3,1,11,4.23,24,3.9,1.22,24,14,1,48,11,0.399,0.509,1.2674,1.197,0.152,0.125,5.45,69.0733,8.284,27.740500000000004
T3,2,13,1.07,16,3.8,1.8,22.3,10.8,3,47,10.3,0.328,0.49,1.2175,1.081,0.129,0.11,2.87,34.94225,3.7023,14.063
T3,3,12,4.9,12,2.98,1.7,21.8,12,2,50,11.4,0.362,0.523,1.2372,1.121,0.111,0.12,6.6000000000000005,81.65520000000001,7.3260000000000005,34.518
T4,1,14,0.63,28,2.9,1.8,28.9,15.1,3,77,12.2,0.608,0.87,1.2972,1.142,0.191,0.195,2.43,31.52196,4.6413,21.141000000000002
T4,2,14,0.24,15,4,1.4,29.8,12.9,3,79,13,0.584,0.9,1.3171,1.124,0.139,0.194,1.64,21.600439999999995,2.2796,14.76
T4,3,13,2.34,11,4.1,1.9,27.4,14.6,4,76,11.87,0.63,0.94,1.297,1.094,0.151,0.182,4.24,54.992799999999995,6.4024,39.855999999999995
