Response,treatment,emmean,SE,df,lower.CL,upper.CL,.group
plant_height_cm,T3,12.000000000000002,0.3944053188733078,10,10.754759764423257,13.245240235576746, a 
plant_height_cm,T0,12.333333333333334,0.3944053188733078,10,11.08809309775659,13.578573568910079, a 
plant_height_cm,T4,13.666666666666668,0.3944053188733079,10,12.421426431089923,14.911906902243413, ab
plant_height_cm,T1,14.333333333333336,0.39440531887330804,10,13.08809309775659,15.578573568910082,  b
plant_height_cm,T2,14.666666666666668,0.3944053188733079,10,13.421426431089923,15.911906902243413,  b
shoot_dry_weight_g,T4,1.0699999999999998,1.3533940873062642,10,-3.2030173541264655,5.343017354126465, a
shoot_dry_weight_g,T2,2.599999999999999,1.353394087306264,10,-1.6730173541264652,6.873017354126464, a
shoot_dry_weight_g,T0,3.153333333333333,1.3533940873062635,10,-1.1196840207931298,7.426350687459795, a
shoot_dry_weight_g,T3,3.4,1.3533940873062638,10,-0.8730173541264636,7.673017354126463, a
shoot_dry_weight_g,T1,3.4899999999999998,1.3533940873062642,10,-0.7830173541264656,7.763017354126465, a
shoot_fresh_weight_g,T3,17.33333333333333,3.07679486912382,10,7.619091196350929,27.047575470315728, a
shoot_fresh_weight_g,T4,17.999999999999993,3.07679486912382,10,8.285757863017594,27.714242136982392, a
shoot_fresh_weight_g,T2,20.33333333333333,3.07679486912382,10,10.61909119635093,30.047575470315728, a
shoot_fresh_weight_g,T1,24.666666666666657,3.0767948691238214,10,14.952424529684253,34.380908803649064, a
shoot_fresh_weight_g,T0,27.999999999999986,3.0767948691238196,10,18.285757863017587,37.714242136982385, a
root_fresh_weight_g,T0,2.6966666666666663,0.28568047418984266,10,1.7946990613714948,3.5986342719618376, a
root_fresh_weight_g,T1,3.283333333333334,0.28568047418984277,10,2.3813657280381624,4.185300938628506, a
root_fresh_weight_g,T3,3.56,0.28568047418984266,10,2.6580323947048283,4.461967605295172, a
root_fresh_weight_g,T4,3.666666666666667,0.2856804741898427,10,2.7646990613714952,4.568634271961838, a
root_fresh_weight_g,T2,3.7,0.28568047418984266,10,2.798032394704829,4.6019676052951715, a
root_dry_weight_g,T0,0.7866666666666671,0.12266485505908634,10,0.3993817957447566,1.1739515375885776, a  
