treatment,n,mean_dry_biomass_g,SE_dry_biomass_g,mean_N_uptake_mg,SE_N_uptake_mg,mean_P_uptake_mg,SE_P_uptake_mg,mean_K_uptake_mg,SE_K_uptake_mg,N_vs_control_pct,P_vs_control_pct,K_vs_control_pct
T0,3,3.9400000000000004,2.119536112769333,28.70566666666667,15.720774581567044,3.626733333333333,1.8460023134089272,11.6572,6.432820160188947,0,0,0
T1,3,4.5633333333333335,1.638386740397734,56.34301666666667,20.165222761846145,5.9461,2.1194003963385497,26.780133333333332,9.501417290126305,96.27837709163114,63.951949412694646,129.73040981825253
T2,3,3.8000000000000003,0.6539367961304313,40.38794,8.062378403333184,4.446066666666667,0.8817283488190175,19.041033333333335,3.1972518044581837,40.69674977066082,22.591496479844132,63.341397019295684
T3,3,4.973333333333334,1.1028196185737318,61.89025,13.954952285867316,6.437433333333334,1.3952486950759393,25.4405,6.015791891624355,115.60290070485499,77.49949449458653,118.23851353669835
T4,3,2.77,0.7695669778085165,36.038399999999996,9.900523543355337,4.4411000000000005,1.194351984690164,25.252333333333333,7.530595380033225,25.544549856590425,22.454550467822298,116.62434661268
