treatment,mean_dry_biomass_g,mean_N_uptake_mg,N_vs_control_pct,mean_P_uptake_mg,P_vs_control_pct,mean_K_uptake_mg,K_vs_control_pct
T0,3.9400000000000004,28.70566666666667,0,3.626733333333333,0,11.6572,0
T1,4.5633333333333335,56.34301666666667,96.27837709163114,5.9461,63.951949412694646,26.780133333333332,129.73040981825253
T2,3.8000000000000003,40.38794,40.69674977066082,4.446066666666667,22.591496479844132,19.041033333333335,63.341397019295684
T3,4.973333333333334,61.89025,115.60290070485499,6.437433333333334,77.49949449458653,25.4405,118.23851353669835
T4,2.77,36.038399999999996,25.544549856590425,4.4411000000000005,22.454550467822298,25.252333333333333,116.62434661268
