Response,treatment,emmean,SE,df,lower.CL,upper.CL
plant_height_cm,T0,12.333333333333334,0.3944053188733078,10,11.454543518921682,13.212123147744986
plant_height_cm,T1,14.333333333333336,0.39440531887330804,10,13.454543518921684,15.212123147744988
plant_height_cm,T2,14.666666666666668,0.3944053188733079,10,13.787876852255016,15.54545648107832
plant_height_cm,T3,12.000000000000002,0.3944053188733078,10,11.12121018558835,12.878789814411654
plant_height_cm,T4,13.666666666666668,0.3944053188733079,10,12.787876852255016,14.54545648107832
shoot_dry_weight_g,T0,3.153333333333333,1.3533940873062635,10,0.1377833853577437,6.168883281308922
shoot_dry_weight_g,T1,3.4899999999999998,1.3533940873062642,10,0.47445005202440926,6.50554994797559
shoot_dry_weight_g,T2,2.599999999999999,1.353394087306264,10,-0.41554994797559086,5.615549947975589
shoot_dry_weight_g,T3,3.4,1.3533940873062638,10,0.3844500520244103,6.41554994797559
shoot_dry_weight_g,T4,1.0699999999999998,1.3533940873062642,10,-1.9455499479755907,4.08554994797559
shoot_fresh_weight_g,T0,27.999999999999986,3.0767948691238196,10,21.14447381251318,34.85552618748679
shoot_fresh_weight_g,T1,24.666666666666657,3.0767948691238214,10,17.811140479179848,31.522192854153467
shoot_fresh_weight_g,T2,20.33333333333333,3.07679486912382,10,13.477807145846523,27.188859520820134
shoot_fresh_weight_g,T3,17.33333333333333,3.07679486912382,10,10.477807145846523,24.188859520820134
shoot_fresh_weight_g,T4,17.999999999999993,3.07679486912382,10,11.144473812513187,24.8555261874868
root_fresh_weight_g,T0,2.6966666666666663,0.28568047418984266,10,2.060130902870416,3.333202430462917
root_fresh_weight_g,T1,3.283333333333334,0.28568047418984277,10,2.6467975695370836,3.9198690971295846
root_fresh_weight_g,T2,3.7,0.28568047418984266,10,3.0634642362037496,4.336535763796251
root_fresh_weight_g,T3,3.56,0.28568047418984266,10,2.9234642362037495,4.19653576379625
root_fresh_weight_g,T4,3.666666666666667,0.2856804741898427,10,3.0301309028704164,4.3032024304629175
root_dry_weight_g,T0,0.7866666666666671,0.12266485505908634,10,0.5133523373362517,1.0599809959970825
root_dry_weight_g,T1,1.073333333333334,0.12266485505908639,10,0.8000190040029185,1.3466476626637494
root_dry_weight_g,T2,1.2000000000000004,0.12266485505908635,10,0.9266856706695851,1.4733143293304156
root_dry_weight_g,T3,1.5733333333333337,0.12266485505908636,10,1.3000190040029183,1.8466476626637491
root_dry_weight_g,T4,1.7000000000000004,0.12266485505908638,10,1.426685670669585,1.9733143293304158
pod_fresh_weight_g,T0,14.899999999999993,0.6494442068244028,10,13.452948130577132,16.347051869422856
pod_fresh_weight_g,T1,23.86666666666667,0.6494442068244033,10,22.41961479724381,25.31371853608953
pod_fresh_weight_g,T2,24.766666666666662,0.649444206824403,10,23.3196147972438,26.213718536089523
pod_fresh_weight_g,T3,22.699999999999996,0.649444206824403,10,21.252948130577135,24.147051869422857
pod_fresh_weight_g,T4,28.699999999999996,0.6494442068244031,10,27.252948130577135,30.147051869422857
pod_dry_weight_g,T0,10.533333333333328,0.6569288816573339,10,9.06960456912073,11.997062097545927
pod_dry_weight_g,T1,12.23333333333333,0.6569288816573341,10,10.769604569120732,13.69706209754593
pod_dry_weight_g,T2,11.866666666666662,0.656928881657334,10,10.402937902454063,13.33039543087926
pod_dry_weight_g,T3,12.266666666666662,0.656928881657334,10,10.802937902454063,13.73039543087926
pod_dry_weight_g,T4,14.199999999999996,0.6569288816573341,10,12.736271235787397,15.663728764212594
pods_per_plant,T0,1.3333333333333333,0.5163977794943221,10,0.1827273777625935,2.483939288904073
pods_per_plant,T1,2.000000000000001,0.5163977794943222,10,0.8493940444292607,3.1506059555707413
pods_per_plant,T2,1.666666666666667,0.5163977794943222,10,0.5160607110959268,2.8172726222374074
pods_per_plant,T3,2,0.5163977794943221,10,0.8493940444292603,3.1506059555707395
pods_per_plant,T4,3.333333333333334,0.5163977794943222,10,2.1827273777625935,4.483939288904074
grains_per_pod,T0,36.33333333333332,1.3498971154211064,10,33.325575124279354,39.34109154238729
grains_per_pod,T1,50.00000000000001,1.349897115421107,10,46.99224179094604,53.007758209053975
grains_per_pod,T2,44.33333333333333,1.3498971154211064,10,41.32557512427936,47.341091542387296
